filename,avg_dna_damage_foci/glia_+,avg_dna_damage_foci/glia_+_damage_+,avg_dna_damage_foci/all_nuclei,avg_dna_damage_foci/all_nuclei_damage_+,nr_+_dna_damage_glia_nuclei,nr_+_dna_damage_all_nuclei,nr_-_dna_damage_glia_nuclei,nr_glia_+_nuclei,nr_total_nuclei,%_dna_damage_signal,%_glia+_signal,damage_load_ratio_glia_+_cells,damage_load_ratio_all_cells
DSB GFAP 39_40X_DG,0.875,1.75,1.116580310880829,1.4511784511784511,8,297,8,16,386,1.0580062866210938,4.325294494628906,0.5,0.7694300518134715
DSB GFAP 41_40X_CA1,1.5,1.8,0.4596774193548387,1.1875,5,48,1,6,124,0.27103424072265625,3.000640869140625,0.8333333333333334,0.3870967741935484
DSB GFAP 41_40X_CA3,0.5,1.0,0.7193877551020408,1.2935779816513762,1,109,1,2,196,0.6425857543945312,1.0973930358886719,0.5,0.5561224489795918
DSB GFAP 41_40X_CTX1,0.0,,0.6272189349112426,1.2619047619047619,0,84,7,7,169,0.32901763916015625,3.32183837890625,0.0,0.4970414201183432
DSB GFAP 41_40X_CTX2,0.375,1.0,0.48,1.0769230769230769,3,78,5,8,175,0.25272369384765625,2.9943466186523438,0.375,0.44571428571428573
DSB GFAP 41_40X_CTX3,0.2,1.0,0.44171779141104295,1.1612903225806452,1,62,4,5,163,0.23260116577148438,2.0363807678222656,0.2,0.3803680981595092
DSB GFAP 41_40X_DG,0.5555555555555556,1.0,1.013953488372093,1.4110032362459546,5,309,4,9,429,1.3192176818847656,3.882122039794922,0.5555555555555556,0.7202797202797203
DSB GFAP 43_40X_CA1,0.09090909090909091,1.0,0.5902777777777778,1.2142857142857142,1,70,10,11,144,0.3383636474609375,1.8330574035644531,0.09090909090909091,0.4861111111111111
DSB GFAP 43_40X_CA3,0.3333333333333333,1.0,0.5299145299145299,1.2653061224489797,2,49,4,6,117,0.2581596374511719,2.3965835571289062,0.3333333333333333,0.4188034188034188
DSB GFAP 43_40X_CTX1,1.6,2.0,0.6073059360730594,1.2201834862385321,4,109,1,5,219,0.4772186279296875,2.330780029296875,0.8,0.4977168949771689
DSB GFAP 43_40X_CTX2,0.6,1.5,0.589041095890411,1.2647058823529411,4,102,6,10,219,0.4242897033691406,5.863285064697266,0.4,0.4657534246575342
DSB GFAP 43_40X_CTX3,1.2,1.5,0.7538461538461538,1.3243243243243243,4,74,1,5,130,0.35572052001953125,2.3842811584472656,0.8,0.5692307692307692
DSB GFAP 43_40X_DG,0.3333333333333333,1.0,0.8492822966507177,1.2412587412587412,2,286,4,6,418,1.0764122009277344,2.930927276611328,0.3333333333333333,0.6842105263157895
DSB GFAP 6_40X_CA1,0.4444444444444444,1.2,0.7593582887700535,1.2456140350877194,10,114,17,27,187,0.6907463073730469,11.424636840820312,0.37037037037037035,0.6096256684491979
DSB GFAP 6_40X_CA3,0.5454545454545454,1.0,0.819672131147541,1.4492753623188406,6,69,5,11,122,0.47512054443359375,5.2280426025390625,0.5454545454545454,0.5655737704918032
DSB GFAP 6_40X_CTX1,0.5238095238095238,1.5714285714285714,0.6896551724137931,1.2121212121212122,7,132,14,21,232,0.6030082702636719,7.1132659912109375,0.3333333333333333,0.5689655172413793
DSB GFAP 6_40X_CTX2,0.375,1.5,0.6945812807881774,1.330188679245283,2,106,6,8,203,0.44269561767578125,6.5277099609375,0.25,0.5221674876847291
DSB GFAP 6_40X_CTX3,0.6956521739130435,1.3333333333333333,0.7051792828685259,1.4274193548387097,12,124,11,23,251,0.441741943359375,11.406803131103516,0.5217391304347826,0.4940239043824701
DSB GFAP 6_40X_DG,1.0,1.3333333333333333,1.3171717171717172,1.601965601965602,15,407,5,20,494,2.957439422607422,6.174468994140625,0.75,0.8238866396761133
DSB GFAP 8_40X_CA1,0.5333333333333333,1.1428571428571428,0.6573033707865169,1.1142857142857143,7,105,8,15,178,0.5617141723632812,3.7751197814941406,0.4666666666666667,0.5898876404494382
DSB GFAP 8_40X_CA3,0.0,,0.8157894736842105,1.5308641975308641,0,81,8,8,152,0.6836891174316406,3.5164833068847656,0.0,0.5328947368421053
DSB GFAP 8_40X_CTX1,0.21428571428571427,1.5,0.6133333333333333,1.2432432432432432,2,111,12,14,225,0.4965782165527344,4.283905029296875,0.14285714285714285,0.49333333333333335
DSB GFAP 8_40X_CTX2,0.25,1.0,0.6590909090909091,1.2608695652173914,1,115,3,4,220,0.40264129638671875,2.9007911682128906,0.25,0.5227272727272727
DSB GFAP 8_40X_CTX3,0.4444444444444444,2.0,0.7004830917874396,1.3679245283018868,2,106,7,9,207,0.4750251770019531,4.0431976318359375,0.2222222222222222,0.5120772946859904
DSB GFAP 8_40X_DG,0.7058823529411765,1.3333333333333333,1.1409090909090909,1.489614243323442,9,337,8,17,438,1.6843795776367188,6.287670135498047,0.5294117647058824,0.769406392694064
